,Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,Bought for Less Than Retail,Bought for Retail,Bought for More Than Retail
15,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,658,220,2017-02-25,11.0,California,False,False,True
16,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,650,220,2017-02-25,11.0,North Carolina,False,False,True
17,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,610,220,2017-02-25,10.0,New Jersey,False,False,True
18,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,589,220,2017-02-25,9.0,New York,False,False,True
19,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,850,220,2017-02-25,5.5,Michigan,False,False,True
20,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,546,220,2017-02-25,9.0,Florida,False,False,True
21,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,586,220,2017-02-25,9.5,Oregon,False,False,True
22,2017-09-01, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,640,220,2017-02-25,14.0,California,False,False,True
23,2017-09-02, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,850,220,2016-09-24,8.0,Alabama,False,False,True
24,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,999,220,2016-11-23,11.0,Kentucky,False,False,True
25,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,740,220,2017-02-11,9.0,New York,False,False,True
26,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,765,220,2017-02-11,8.0,New York,False,False,True
27,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,800,220,2016-12-17,11.5,Kentucky,False,False,True
28,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,10.5,California,False,False,True
29,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,455,220,2017-04-29,8.5,Oregon,False,False,True
30,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,479,220,2017-04-29,10.0,Delaware,False,False,True
31,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,572,220,2017-02-25,9.0,Florida,False,False,True
32,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,580,220,2017-02-25,9.0,Virginia,False,False,True
33,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,590,220,2017-02-25,14.0,Wisconsin,False,False,True
34,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,625,220,2017-02-25,10.0,Texas,False,False,True
35,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,595,220,2017-02-25,9.0,New Jersey,False,False,True
36,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,589,220,2017-02-25,9.0,Wisconsin,False,False,True
37,2017-09-02, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,635,220,2017-02-25,11.0,Colorado,False,False,True
38,2017-09-03, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,1068,220,2016-09-24,10.0,Kentucky,False,False,True
39,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,1095,220,2016-11-23,13.0,New Jersey,False,False,True
40,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,820,220,2017-02-11,10.0,California,False,False,True
41,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,750,220,2017-02-11,10.5,New York,False,False,True
42,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,715,220,2016-12-17,9.0,Florida,False,False,True
43,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,870,220,2016-12-17,12.0,Massachusetts,False,False,True
44,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,480,220,2017-04-29,9.5,California,False,False,True
45,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,459,220,2017-04-29,9.0,Pennsylvania,False,False,True
46,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,475,220,2017-04-29,10.0,Massachusetts,False,False,True
47,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,458,220,2017-04-29,9.5,Oregon,False,False,True
48,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,481,220,2017-04-29,11.0,Colorado,False,False,True
49,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,585,220,2017-02-25,9.0,Pennsylvania,False,False,True
50,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,650,220,2017-02-25,13.0,Alabama,False,False,True
51,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,563,220,2017-02-25,8.0,New York,False,False,True
52,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,695,220,2017-02-25,5.0,New York,False,False,True
53,2017-09-03, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,595,220,2017-02-25,8.5,Texas,False,False,True
54,2017-09-04, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,960,220,2016-09-24,9.0,California,False,False,True
55,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,785,220,2017-02-11,10.5,Texas,False,False,True
56,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,799,220,2016-12-17,10.0,Texas,False,False,True
57,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,850,220,2016-12-17,6.5,New Jersey,False,False,True
58,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,475,220,2017-04-29,10.5,Oregon,False,False,True
59,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,10.5,Virginia,False,False,True
60,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,480,220,2017-04-29,9.5,New Jersey,False,False,True
61,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,436,220,2017-04-29,8.5,California,False,False,True
62,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,481,220,2017-04-29,9.5,Louisiana,False,False,True
63,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,630,220,2017-02-25,10.5,Massachusetts,False,False,True
64,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,650,220,2017-02-25,12.0,Alabama,False,False,True
65,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,605,220,2017-02-25,9.5,Washington,False,False,True
66,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,575,220,2017-02-25,8.5,Georgia,False,False,True
67,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,659,220,2017-02-25,11.0,Ohio,False,False,True
68,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,594,220,2017-02-25,14.0,California,False,False,True
69,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,625,220,2017-02-25,9.5,Colorado,False,False,True
70,2017-09-04, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,530,220,2017-02-25,8.0,California,False,False,True
71,2017-09-05, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,870,220,2016-09-24,6.0,New York,False,False,True
72,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Copper,708,220,2016-11-23,11.0,New Jersey,False,False,True
73,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,1162,220,2016-11-23,5.0,California,False,False,True
74,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,815,220,2017-02-11,11.0,New York,False,False,True
75,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,799,220,2017-02-11,12.0,California,False,False,True
76,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,775,220,2016-12-17,11.0,Texas,False,False,True
77,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,700,220,2016-12-17,9.0,New York,False,False,True
78,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,549,220,2017-04-29,13.0,Texas,False,False,True
79,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,9.5,Oregon,False,False,True
80,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,475,220,2017-04-29,9.5,Wisconsin,False,False,True
81,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,520,220,2017-04-29,13.0,Florida,False,False,True
82,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,492,220,2017-04-29,13.0,Texas,False,False,True
83,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,11.0,North Carolina,False,False,True
84,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,535,220,2017-04-29,13.0,New Jersey,False,False,True
85,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,655,220,2017-02-25,11.0,California,False,False,True
86,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,575,220,2017-02-25,9.0,Alabama,False,False,True
87,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,580,220,2017-02-25,9.0,Nebraska,False,False,True
88,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,600,220,2017-02-25,10.5,Texas,False,False,True
89,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,665,220,2017-02-25,11.5,Oklahoma,False,False,True
90,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,623,220,2017-02-25,10.5,Texas,False,False,True
91,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,583,220,2017-02-25,9.0,New York,False,False,True
92,2017-09-05, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,652,220,2017-02-25,11.5,California,False,False,True
93,2017-09-06, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,904,220,2016-09-24,7.5,Georgia,False,False,True
94,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Copper,675,220,2016-11-23,9.0,Ohio,False,False,True
95,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,697,220,2016-11-23,10.0,Florida,False,False,True
96,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,845,220,2017-02-11,11.5,New York,False,False,True
97,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,815,220,2017-02-11,11.0,Georgia,False,False,True
98,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,650,220,2016-12-17,7.5,California,False,False,True
99,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,790,220,2016-12-17,14.0,Florida,False,False,True
100,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,456,220,2017-04-29,10.0,Connecticut,False,False,True
101,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,475,220,2017-04-29,9.5,New York,False,False,True
102,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,460,220,2017-04-29,9.0,Pennsylvania,False,False,True
103,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,487,220,2017-04-29,12.0,California,False,False,True
104,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,467,220,2017-04-29,9.5,Oregon,False,False,True
105,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,640,220,2017-02-25,6.5,Massachusetts,False,False,True
106,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,667,220,2017-02-25,12.0,Ohio,False,False,True
107,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,749,220,2017-02-25,12.5,Texas,False,False,True
108,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,655,220,2017-02-25,11.5,California,False,False,True
109,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,645,220,2017-02-25,11.0,Wisconsin,False,False,True
110,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,600,220,2017-02-25,10.0,California,False,False,True
111,2017-09-06, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,545,220,2017-02-25,8.0,Missouri,False,False,True
112,2017-09-07, Yeezy,Adidas Yeezy Boost 350 Low Moonrock,1230,200,2015-11-14,10.5,Michigan,False,False,True
113,2017-09-07, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,746,220,2016-09-24,4.0,Oregon,False,False,True
114,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Copper,699,220,2016-11-23,9.0,Oregon,False,False,True
115,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,775,220,2017-02-11,8.0,Virginia,False,False,True
116,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,911,220,2017-02-11,4.0,Oregon,False,False,True
117,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,830,220,2017-02-11,11.0,New Jersey,False,False,True
118,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,860,220,2017-02-11,12.0,Ohio,False,False,True
119,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,720,220,2016-12-17,10.5,New Jersey,False,False,True
120,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,491,220,2017-04-29,4.0,Massachusetts,False,False,True
121,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,460,220,2017-04-29,9.0,New Jersey,False,False,True
122,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,600,220,2017-04-29,6.0,Washington,False,False,True
123,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,458,220,2017-04-29,9.0,Rhode Island,False,False,True
124,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,660,220,2017-02-25,11.0,Michigan,False,False,True
125,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,579,220,2017-02-25,7.5,New York,False,False,True
126,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,615,220,2017-02-25,10.5,New York,False,False,True
127,2017-09-07, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,575,220,2017-02-25,7.0,Massachusetts,False,False,True
128,2017-09-07,Off-White,Nike Air Max 90 Off White,1600,160,2017-09-09,8.0,California,False,False,True
129,2017-09-07,Off-White,Nike Air Max 90 Off White,1090,160,2017-09-09,11.5,New York,False,False,True
130,2017-09-07,Off-White,Nike Air Presto Off White,1344,160,2017-09-09,10.0,New York,False,False,True
131,2017-09-07,Off-White,Nike Air Presto Off White,1325,160,2017-09-09,10.0,Massachusetts,False,False,True
132,2017-09-07,Off-White,Nike Air VaporMax Off White,1800,250,2017-09-09,12.0,Kentucky,False,False,True
133,2017-09-08, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,920,220,2016-09-24,8.5,New York,False,False,True
134,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,785,220,2017-02-11,10.0,New York,False,False,True
135,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,875,220,2017-02-11,11.5,Georgia,False,False,True
136,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,740,220,2016-12-17,9.5,Texas,False,False,True
137,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,865,220,2016-12-17,5.0,Massachusetts,False,False,True
138,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,452,220,2017-04-29,10.0,Virginia,False,False,True
139,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,10.0,Pennsylvania,False,False,True
140,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,469,220,2017-04-29,9.5,Oregon,False,False,True
141,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,438,220,2017-04-29,8.5,Massachusetts,False,False,True
142,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,564,220,2017-02-25,7.0,New York,False,False,True
143,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,670,220,2017-02-25,12.0,Wisconsin,False,False,True
144,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,645,220,2017-02-25,11.5,Connecticut,False,False,True
145,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,666,220,2017-02-25,12.0,California,False,False,True
146,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,645,220,2017-02-25,11.5,South Carolina,False,False,True
147,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,580,220,2017-02-25,8.5,Maine,False,False,True
148,2017-09-08, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,600,220,2017-02-25,10.0,New York,False,False,True
149,2017-09-08,Off-White,Air Jordan 1 Retro High Off White Chicago,2450,190,2017-09-09,13.0,New York,False,False,True
150,2017-09-08,Off-White,Air Jordan 1 Retro High Off White Chicago,2325,190,2017-09-09,12.0,Illinois,False,False,True
151,2017-09-08,Off-White,Nike Air Max 90 Off White,850,160,2017-09-09,11.0,New Jersey,False,False,True
152,2017-09-08,Off-White,Nike Air Presto Off White,1299,160,2017-09-09,11.0,Colorado,False,False,True
153,2017-09-08,Off-White,Nike Air VaporMax Off White,2399,250,2017-09-09,11.5,Kentucky,False,False,True
154,2017-09-08,Off-White,Nike Blazer Mid Off White,720,130,2017-09-09,9.0,New York,False,False,True
155,2017-09-08,Off-White,Nike Blazer Mid Off White,750,130,2017-09-09,10.5,Florida,False,False,True
156,2017-09-09, Yeezy,Adidas Yeezy Boost 350 Low Pirate Black 2016,1100,200,2016-02-19,9.5,Virginia,False,False,True
157,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,700,220,2016-11-23,13.0,New York,False,False,True
158,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,1092,220,2016-11-23,9.0,Alabama,False,False,True
159,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,829,220,2017-02-11,8.0,California,False,False,True
160,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,747,220,2017-02-11,9.0,New York,False,False,True
161,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,814,220,2016-12-17,5.0,Oregon,False,False,True
162,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,446,220,2017-04-29,9.0,California,False,False,True
163,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,490,220,2017-04-29,13.0,Virginia,False,False,True
164,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,455,220,2017-04-29,10.5,Florida,False,False,True
165,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,460,220,2017-04-29,10.0,California,False,False,True
166,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,485,220,2017-04-29,9.5,Wisconsin,False,False,True
167,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,608,220,2017-02-25,8.5,Pennsylvania,False,False,True
168,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,567,220,2017-02-25,8.0,California,False,False,True
169,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,580,220,2017-02-25,14.0,Florida,False,False,True
170,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,587,220,2017-02-25,9.0,Alabama,False,False,True
171,2017-09-09, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,580,220,2017-02-25,9.0,Illinois,False,False,True
172,2017-09-09,Off-White,Air Jordan 1 Retro High Off White Chicago,2799,190,2017-09-09,10.5,Massachusetts,False,False,True
173,2017-09-09,Off-White,Air Jordan 1 Retro High Off White Chicago,2550,190,2017-09-09,10.0,Delaware,False,False,True
174,2017-09-09,Off-White,Nike Air Max 90 Off White,949,160,2017-09-09,11.5,New York,False,False,True
175,2017-09-09,Off-White,Nike Air Max 90 Off White,1100,160,2017-09-09,9.5,New Jersey,False,False,True
176,2017-09-09,Off-White,Nike Air Max 90 Off White,850,160,2017-09-09,10.0,Virginia,False,False,True
177,2017-09-09,Off-White,Nike Air Presto Off White,1299,160,2017-09-09,10.0,New Jersey,False,False,True
178,2017-09-09,Off-White,Nike Blazer Mid Off White,680,130,2017-09-09,10.0,New Jersey,False,False,True
179,2017-09-10, Yeezy,Adidas Yeezy Boost 350 Low Pirate Black 2016,999,200,2016-02-19,12.0,Kentucky,False,False,True
180,2017-09-10, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,990,220,2016-09-24,10.5,Michigan,False,False,True
181,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,640,220,2016-11-23,9.5,Oregon,False,False,True
182,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,695,220,2016-11-23,10.5,Colorado,False,False,True
183,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,810,220,2017-02-11,11.0,California,False,False,True
184,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,800,220,2017-02-11,11.0,California,False,False,True
185,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,722,220,2016-12-17,9.5,California,False,False,True
186,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,500,220,2017-04-29,11.5,Texas,False,False,True
187,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,485,220,2017-04-29,11.0,Washington,False,False,True
188,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,450,220,2017-04-29,11.0,Texas,False,False,True
189,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,635,220,2017-02-25,12.0,South Carolina,False,False,True
190,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,625,220,2017-02-25,10.0,Nevada,False,False,True
191,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,665,220,2017-02-25,12.0,California,False,False,True
192,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,579,220,2017-02-25,14.0,Florida,False,False,True
193,2017-09-10, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,620,220,2017-02-25,9.5,Oregon,False,False,True
194,2017-09-10,Off-White,Air Jordan 1 Retro High Off White Chicago,2100,190,2017-09-09,10.0,New York,False,False,True
195,2017-09-10,Off-White,Nike Air Max 90 Off White,965,160,2017-09-09,9.0,California,False,False,True
196,2017-09-10,Off-White,Nike Air Max 90 Off White,940,160,2017-09-09,8.0,New York,False,False,True
197,2017-09-10,Off-White,Nike Air Presto Off White,1329,160,2017-09-09,9.0,California,False,False,True
198,2017-09-10,Off-White,Nike Air Presto Off White,1270,160,2017-09-09,9.0,New York,False,False,True
199,2017-09-10,Off-White,Nike Air Presto Off White,1190,160,2017-09-09,10.0,New Jersey,False,False,True
200,2017-09-10,Off-White,Nike Air Presto Off White,1300,160,2017-09-09,11.0,Florida,False,False,True
201,2017-09-10,Off-White,Nike Air VaporMax Off White,1200,250,2017-09-09,10.5,Ohio,False,False,True
202,2017-09-10,Off-White,Nike Blazer Mid Off White,930,130,2017-09-09,13.0,Massachusetts,False,False,True
203,2017-09-10,Off-White,Nike Blazer Mid Off White,734,130,2017-09-09,10.0,Oregon,False,False,True
204,2017-09-11, Yeezy,Adidas Yeezy Boost 350 Low Oxford Tan,1101,200,2015-12-29,8.0,Nevada,False,False,True
205,2017-09-11, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,1100,220,2016-09-24,11.5,Kentucky,False,False,True
206,2017-09-11, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,1050,220,2016-09-24,11.0,California,False,False,True
207,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,640,220,2016-11-23,10.0,California,False,False,True
208,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,1200,220,2016-11-23,12.5,Texas,False,False,True
209,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,810,220,2017-02-11,10.5,Washington,False,False,True
210,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,861,220,2017-02-11,11.5,New York,False,False,True
211,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black White,799,220,2016-12-17,4.0,California,False,False,True
212,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,8.0,Ohio,False,False,True
213,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,447,220,2017-04-29,11.0,New York,False,False,True
214,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,470,220,2017-04-29,9.0,Michigan,False,False,True
215,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,479,220,2017-04-29,10.0,Ohio,False,False,True
216,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,630,220,2017-02-25,10.5,Ohio,False,False,True
217,2017-09-11, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,622,220,2017-02-25,11.0,Virginia,False,False,True
